Granja,Galpón,Sexo,Día,Cosechado (1/0)
EL OASIS,2,H,2,0
EL OASIS,2,H,3,0
EL OASIS,2,H,4,1
EL OASIS,2,H,5,0
EL OASIS,2,H,6,0
EL OASIS,3,M,1,0
EL OASIS,3,M,2,0
EL OASIS,3,M,3,0
EL OASIS,3,M,4,0
EL OASIS,3,M,5,0
EL OASIS,3,M,6,1
EL OASIS,3,H,1,1
EL OASIS,3,H,2,0
EL OASIS,3,H,3,0
EL OASIS,3,H,4,0
EL OASIS,3,H,5,0
EL OASIS,3,H,6,0
EL OASIS,4,M,1,0
EL OASIS,4,M,2,0
EL OASIS,4,M,3,0
EL OASIS,4,M,4,0
EL OASIS,4,M,5,0
EL OASIS,4,M,6,0
EL OASIS,4,H,1,0
EL OASIS,4,H,2,0
EL OASIS,4,H,3,0
EL OASIS,4,H,4,0
EL OASIS,4,H,5,0
EL OASIS,4,H,6,1
EL OASIS,5,M,1,0
EL OASIS,5,M,2,0
EL OASIS,5,M,3,0
EL OASIS,5,M,4,0
EL OASIS,5,M,5,0
EL OASIS,5,M,6,0
EL OASIS,5,H,1,1
EL OASIS,5,H,2,0
EL OASIS,5,H,3,0
EL OASIS,5,H,4,0
EL OASIS,5,H,5,0
EL OASIS,5,H,6,0
JR,1,M,1,1
JR,1,M,2,0
JR,1,M,3,0
JR,1,M,4,0
JR,1,M,5,0
JR,1,M,6,0
JR,1,H,1,0
JR,1,H,2,0
JR,1,H,3,0
JR,1,H,4,1
JR,1,H,5,0
JR,1,H,6,0
JR,2,M,1,0
JR,2,M,2,0
JR,2,M,3,0
JR,2,M,4,1
JR,2,M,5,0
JR,2,M,6,0
JR,2,H,1,0
JR,2,H,2,0
JR,2,H,3,1
JR,2,H,4,0
JR,2,H,5,0
JR,2,H,6,0
JR,3,M,1,0
JR,3,M,2,0
JR,3,M,3,1
JR,3,M,4,0
JR,3,M,5,0
JR,3,M,6,0
JR,3,H,1,0
JR,3,H,2,0
JR,3,H,3,0
JR,3,H,4,1
JR,3,H,5,0
JR,3,H,6,0
JR,4,M,1,0
JR,4,M,2,1
JR,4,M,3,0
JR,4,M,4,0
JR,4,M,5,0
JR,4,M,6,0
JR,4,H,1,0
JR,4,H,2,0
JR,4,H,3,0
JR,4,H,4,0
JR,4,H,5,1
JR,4,H,6,0
JR,5,M,1,0
JR,5,M,2,1
JR,5,M,3,0
JR,5,M,4,0
JR,5,M,5,0
JR,5,M,6,0
JR,5,H,1,1
JR,5,H,2,0
JR,5,H,3,0
JR,5,H,4,0
JR,5,H,5,0
JR,5,H,6,0
GIRASOL,1,M,1,0
GIRASOL,1,M,2,0
GIRASOL,1,M,3,0
GIRASOL,1,M,4,0
GIRASOL,1,M,5,0
GIRASOL,1,M,6,0
GIRASOL,2,M,1,1
GIRASOL,2,M,2,0
GIRASOL,2,M,3,0
GIRASOL,2,M,4,0
GIRASOL,2,M,5,0
GIRASOL,2,M,6,0
GIRASOL,3,M,1,0
GIRASOL,3,M,2,0
GIRASOL,3,M,3,0
GIRASOL,3,M,4,0
GIRASOL,3,M,5,0
GIRASOL,3,M,6,0
GIRASOL,4,M,1,0
GIRASOL,4,M,2,0
GIRASOL,4,M,3,1
GIRASOL,4,M,4,0
GIRASOL,4,M,5,0
GIRASOL,4,M,6,0
GIRASOL,5,M,1,0
GIRASOL,5,M,2,0
GIRASOL,5,M,3,0
GIRASOL,5,M,4,0
GIRASOL,5,M,5,0
GIRASOL,5,M,6,1
GIRASOL,6,M,1,0
GIRASOL,6,M,2,0
GIRASOL,6,M,3,1
GIRASOL,6,M,4,0
GIRASOL,6,M,5,0
GIRASOL,6,M,6,0
LA CONQUISTA,1,M,1,0
LA CONQUISTA,1,M,2,0
LA CONQUISTA,1,M,3,0
LA CONQUISTA,1,M,4,1
LA CONQUISTA,1,M,5,0
LA CONQUISTA,1,M,6,0
LA CONQUISTA,1,H,1,0
LA CONQUISTA,1,H,2,0
LA CONQUISTA,1,H,3,0
LA CONQUISTA,1,H,4,0
LA CONQUISTA,1,H,5,0
LA CONQUISTA,1,H,6,0
LA CONQUISTA,2,M,1,0
LA CONQUISTA,2,M,2,0
LA CONQUISTA,2,M,3,0
LA CONQUISTA,2,M,4,0
LA CONQUISTA,2,M,5,1
LA CONQUISTA,2,M,6,0
LA CONQUISTA,2,H,1,0
LA CONQUISTA,2,H,2,0
LA CONQUISTA,2,H,3,0
LA CONQUISTA,2,H,4,0
LA CONQUISTA,2,H,5,0
LA CONQUISTA,2,H,6,0
LA CONQUISTA,3,M,1,0
LA CONQUISTA,3,M,2,0
LA CONQUISTA,3,M,3,0
LA CONQUISTA,3,M,4,0
LA CONQUISTA,3,M,5,0
LA CONQUISTA,3,M,6,1
LA CONQUISTA,3,H,1,0
LA CONQUISTA,3,H,2,0
LA CONQUISTA,3,H,3,0
LA CONQUISTA,3,H,4,0
LA CONQUISTA,3,H,5,0
LA CONQUISTA,3,H,6,0
LA CONQUISTA,4,M,1,0
LA CONQUISTA,4,M,2,1
LA CONQUISTA,4,M,3,0
LA CONQUISTA,4,M,4,0
LA CONQUISTA,4,M,5,0
LA CONQUISTA,4,M,6,0
LA CONQUISTA,4,H,1,0
LA CONQUISTA,4,H,2,0
LA CONQUISTA,4,H,3,0
LA CONQUISTA,4,H,4,0
LA CONQUISTA,4,H,5,0
LA CONQUISTA,4,H,6,0
GAPOL,1,M,1,0
GAPOL,1,M,2,0
GAPOL,1,M,3,0
GAPOL,1,M,4,0
GAPOL,1,M,5,0
GAPOL,1,M,6,0
GAPOL,1,H,1,0
GAPOL,1,H,2,0
GAPOL,1,H,3,0
GAPOL,1,H,4,0
GAPOL,1,H,5,0
GAPOL,1,H,6,1
GAPOL,2,M,1,0
GAPOL,2,M,2,0
GAPOL,2,M,3,0
GAPOL,2,M,4,0
GAPOL,2,M,5,0
GAPOL,2,M,6,0
GAPOL,2,H,1,0
GAPOL,2,H,2,0
GAPOL,2,H,3,0
GAPOL,2,H,4,0
GAPOL,2,H,5,0
GAPOL,2,H,6,0
GAPOL,3,M,1,0
GAPOL,3,M,2,1
GAPOL,3,M,3,0
GAPOL,3,M,4,0
GAPOL,3,M,5,0
GAPOL,3,M,6,0
GAPOL,3,H,1,1
GAPOL,3,H,2,0
GAPOL,3,H,3,0
GAPOL,3,H,4,0
GAPOL,3,H,5,0
GAPOL,3,H,6,0
GAPOL,4,M,1,0
GAPOL,4,M,2,0
GAPOL,4,M,3,0
GAPOL,4,M,4,0
GAPOL,4,M,5,1
GAPOL,4,M,6,0
GAPOL,4,H,1,0
GAPOL,4,H,2,0
GAPOL,4,H,3,0
GAPOL,4,H,4,1
GAPOL,4,H,5,0
GAPOL,4,H,6,0
VERACRUZ,1,H,1,0
VERACRUZ,1,H,2,0
VERACRUZ,1,H,3,0
VERACRUZ,1,H,4,0
VERACRUZ,1,H,5,0
VERACRUZ,1,H,6,0
VERACRUZ,2,M,1,0
VERACRUZ,2,M,2,0
VERACRUZ,2,M,3,0
VERACRUZ,2,M,4,0
VERACRUZ,2,M,5,0
VERACRUZ,2,M,6,0
VERACRUZ,3,M,1,0
VERACRUZ,3,M,2,0
VERACRUZ,3,M,3,0
VERACRUZ,3,M,4,0
VERACRUZ,3,M,5,0
VERACRUZ,3,M,6,0
VERACRUZ,4,M,1,0
VERACRUZ,4,M,2,0
VERACRUZ,4,M,3,0
VERACRUZ,4,M,4,0
VERACRUZ,4,M,5,0
VERACRUZ,4,M,6,0
VERACRUZ,5,H,1,0
VERACRUZ,5,H,2,0
VERACRUZ,5,H,3,0
VERACRUZ,5,H,4,0
VERACRUZ,5,H,5,0
VERACRUZ,5,H,6,0
VERACRUZ,6,H,1,0
VERACRUZ,6,H,2,0
VERACRUZ,6,H,3,0
VERACRUZ,6,H,4,0
VERACRUZ,6,H,5,0
VERACRUZ,6,H,6,0
VERACRUZ,7,M,1,0
VERACRUZ,7,M,2,0
VERACRUZ,7,M,3,0
VERACRUZ,7,M,4,0
VERACRUZ,7,M,5,0
VERACRUZ,7,M,6,1
VERACRUZ,7,H,1,0
VERACRUZ,7,H,2,0
VERACRUZ,7,H,3,0
VERACRUZ,7,H,4,0
VERACRUZ,7,H,5,0
VERACRUZ,7,H,6,0
VERACRUZ,8,M,1,0
VERACRUZ,8,M,2,0
VERACRUZ,8,M,3,0
VERACRUZ,8,M,4,1
VERACRUZ,8,M,5,0
VERACRUZ,8,M,6,0
VERACRUZ,8,H,1,0
VERACRUZ,8,H,2,0
VERACRUZ,8,H,3,0
VERACRUZ,8,H,4,0
VERACRUZ,8,H,5,0
VERACRUZ,8,H,6,0
EL BRILLANTE,1,H,1,0
EL BRILLANTE,1,H,2,0
EL BRILLANTE,1,H,3,0
EL BRILLANTE,1,H,4,0
EL BRILLANTE,1,H,5,0
EL BRILLANTE,1,H,6,0
EL BRILLANTE,2,M,1,0
EL BRILLANTE,2,M,2,0
EL BRILLANTE,2,M,3,0
EL BRILLANTE,2,M,4,0
EL BRILLANTE,2,M,5,0
EL BRILLANTE,2,M,6,0
EL BRILLANTE,3,H,1,0
EL BRILLANTE,3,H,2,0
EL BRILLANTE,3,H,3,0
EL BRILLANTE,3,H,4,0
EL BRILLANTE,3,H,5,0
EL BRILLANTE,3,H,6,0
EL BRILLANTE,4,M,1,0
EL BRILLANTE,4,M,2,0
EL BRILLANTE,4,M,3,0
EL BRILLANTE,4,M,4,0
EL BRILLANTE,4,M,5,0
EL BRILLANTE,4,M,6,0
EL BRILLANTE,5,H,1,0
EL BRILLANTE,5,H,2,0
EL BRILLANTE,5,H,3,0
EL BRILLANTE,5,H,4,0
EL BRILLANTE,5,H,5,0
